text,label,gold_label,gold_json,source
Patient demonstrated symptoms of depression; further assessment needed.,depression,depression,"{'chief_complaint': None, 'symptoms': ['depressive symptoms'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'further assessment needed', 'summary': 'Patient demonstrated symptoms of depression; further assessment needed.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'depression'}",clinical
"Patient shows signs of depression, feeling low and fatigued.",depression,depression,"{'chief_complaint': None, 'symptoms': ['depressive symptoms', 'fatigue', 'low mood'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient shows signs of depression, feeling low and fatigued.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
"Patient has fluctuating moods, feeling sad.",depression,depression,"{'chief_complaint': None, 'symptoms': ['sadness'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient has fluctuating moods, feeling sad.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
"Patient indicates a lack of interest in activities, feeling hopeful.",no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['anhedonia (lack of interest in activities)'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient indicates a lack of interest in activities, feeling hopeful.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",clinical
Patient reports feeling low and unable to concentrate.,depression,depression,"{'chief_complaint': None, 'symptoms': ['low mood', 'difficulty concentrating'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient reports feeling low and unable to concentrate.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient expressed feelings of being overwhelmed and lacks motivation.,no depression,depression,"{'chief_complaint': None, 'symptoms': ['feeling overwhelmed', 'low motivation'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient expressed feelings of being overwhelmed and lacks motivation.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
"Patient indicates a lack of interest in activities, feeling overwhelmed.",no depression,depression,"{'chief_complaint': None, 'symptoms': ['feeling overwhelmed', 'anhedonia (lack of interest in activities)'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient indicates a lack of interest in activities, feeling overwhelmed.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient expressed feelings of being low and lacks motivation.,no depression,depression,"{'chief_complaint': None, 'symptoms': ['low mood', 'low motivation'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient expressed feelings of being low and lacks motivation.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient has been experiencing overwhelmed thoughts and needs support.,no depression,depression,"{'chief_complaint': None, 'symptoms': ['feeling overwhelmed'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'patient needs support', 'summary': 'Patient has been experiencing overwhelmed thoughts and needs support.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'depression'}",clinical
Patient feels unstable; a referral to a psychiatrist may be necessary.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['mood instability'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'referral to psychiatrist recommended', 'summary': 'Patient feels unstable; a referral to a psychiatrist may be necessary.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'ambiguous'}",clinical
Patient feels better; a referral to a psychiatrist may be necessary.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'referral to psychiatrist recommended', 'summary': 'Patient feels better; a referral to a psychiatrist may be necessary.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'ambiguous'}",clinical
"Patient has fluctuating moods, feeling better.",no depression,not depression,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': 'not depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient has fluctuating moods, feeling better.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'not depression'}",clinical
Patient expressed feelings of being sad and lacks motivation.,depression,depression,"{'chief_complaint': None, 'symptoms': ['sadness', 'low motivation'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient expressed feelings of being sad and lacks motivation.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient has been experiencing better thoughts and needs support.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'patient needs support', 'summary': 'Patient has been experiencing better thoughts and needs support.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'ambiguous'}",clinical
Patient has been experiencing sad thoughts and needs support.,depression,depression,"{'chief_complaint': None, 'symptoms': ['sadness'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'patient needs support', 'summary': 'Patient has been experiencing sad thoughts and needs support.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'depression'}",clinical
"Patient indicates a lack of interest in activities, feeling sad.",depression,depression,"{'chief_complaint': None, 'symptoms': ['sadness', 'anhedonia (lack of interest in activities)'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient indicates a lack of interest in activities, feeling sad.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
"Patient has fluctuating moods, feeling unstable.",no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['mood instability'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient has fluctuating moods, feeling unstable.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",clinical
Patient has been experiencing hopeful thoughts and needs support.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'patient needs support', 'summary': 'Patient has been experiencing hopeful thoughts and needs support.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'ambiguous'}",clinical
"Patient shows signs of depression, feeling isolated and fatigued.",depression,depression,"{'chief_complaint': None, 'symptoms': ['depressive symptoms', 'social isolation', 'fatigue'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient shows signs of depression, feeling isolated and fatigued.', 'risk_indicators': 'isolation', 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient reports feeling anxious and unable to concentrate.,no depression,depression,"{'chief_complaint': None, 'symptoms': ['anxiety', 'difficulty concentrating'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient reports feeling anxious and unable to concentrate.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient expressed feelings of being hopeful and lacks motivation.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['low motivation'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient expressed feelings of being hopeful and lacks motivation.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",clinical
"Patient has fluctuating moods, feeling overwhelmed.",depression,depression,"{'chief_complaint': None, 'symptoms': ['feeling overwhelmed'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient has fluctuating moods, feeling overwhelmed.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
"Patient has fluctuating moods, feeling isolated.",depression,depression,"{'chief_complaint': None, 'symptoms': ['social isolation'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient has fluctuating moods, feeling isolated.', 'risk_indicators': 'isolation', 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient reports feeling hopeful and unable to concentrate.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['difficulty concentrating'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient reports feeling hopeful and unable to concentrate.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'ambiguous'}",clinical
Patient reports feeling unstable and unable to concentrate.,no depression,depression,"{'chief_complaint': None, 'symptoms': ['mood instability', 'difficulty concentrating'], 'diagnosis': 'depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient reports feeling unstable and unable to concentrate.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'depression'}",clinical
Patient feels overwhelmed; a referral to a psychiatrist may be necessary.,no depression,ambiguous,"{'chief_complaint': None, 'symptoms': ['feeling overwhelmed'], 'diagnosis': None, 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': 'referral to psychiatrist recommended', 'summary': 'Patient feels overwhelmed; a referral to a psychiatrist may be necessary.', 'risk_indicators': None, 'urgency': 'moderate', '_gold_label_for_eval': 'ambiguous'}",clinical
"Patient has fluctuating moods, feeling hopeful.",no depression,not depression,"{'chief_complaint': None, 'symptoms': None, 'diagnosis': 'not depression', 'medical_history': None, 'medications': None, 'procedures': None, 'follow_up': None, 'summary': 'Patient has fluctuating moods, feeling hopeful.', 'risk_indicators': None, 'urgency': 'low', '_gold_label_for_eval': 'not depression'}",clinical
