text,label
"I felt happy today. I shared a laugh with a friend, which helped me momentarily.",no depression
I felt fine today. I wrote in my journal and expressed my thoughts.,depression
I felt confused today. I felt overwhelmed with sadness and isolation.,depression
"I felt confused today. I felt a glimmer of hope today, looking forward to tomorrow.",no depression
"I felt down today. I felt a glimmer of hope today, looking forward to tomorrow.",no depression
"I felt down today. I took a walk in the evening, which slightly lifted my spirits.",no depression
"I felt down today. I shared a laugh with a friend, which helped me momentarily.",no depression
I felt happy today. I felt overwhelmed with sadness and isolation.,depression
I felt happy today. I felt a bit off but managed to accomplish some tasks.,no depression
I felt confused today. I struggled to get out of bed and had no motivation.,depression
"I felt empty today. I shared a laugh with a friend, which helped me momentarily.",depression
I felt fine today. I struggled to get out of bed and had no motivation.,depression
I felt hopeful today. I felt a bit off but managed to accomplish some tasks.,no depression
"I felt hopeful today. I took a walk in the evening, which slightly lifted my spirits.",no depression
I felt empty today. I felt overwhelmed with sadness and isolation.,depression
I felt down today. I felt a bit off but managed to accomplish some tasks.,no depression
"I felt overwhelmed today. I shared a laugh with a friend, which helped me momentarily.",no depression
I felt better today. I found it hard to focus today; it was a heavy day.,no depression
I felt empty today. I struggled to get out of bed and had no motivation.,depression
I felt down today. I felt overwhelmed with sadness and isolation.,depression
I felt fine today. I found it hard to focus today; it was a heavy day.,depression
I felt overwhelmed today. I wrote in my journal and expressed my thoughts.,depression
"I felt hopeful today. I felt a glimmer of hope today, looking forward to tomorrow.",no depression
"I felt overwhelmed today. I took a walk in the evening, which slightly lifted my spirits.",no depression
I felt overwhelmed today. I found it hard to focus today; it was a heavy day.,no depression
I felt confused today. I found it hard to focus today; it was a heavy day.,depression
I felt down today. I found it hard to focus today; it was a heavy day.,depression
"I felt confused today. I shared a laugh with a friend, which helped me momentarily.",no depression
"I felt happy today. I took a walk in the evening, which slightly lifted my spirits.",no depression
I felt better today. I struggled to get out of bed and had no motivation.,depression
I felt better today. I wrote in my journal and expressed my thoughts.,no depression
"I felt better today. I shared a laugh with a friend, which helped me momentarily.",no depression
"I felt fine today. I felt a glimmer of hope today, looking forward to tomorrow.",no depression
I felt confused today. I felt a bit off but managed to accomplish some tasks.,no depression
I felt happy today. I found it hard to focus today; it was a heavy day.,no depression
I felt hopeful today. I struggled to get out of bed and had no motivation.,depression
I felt overwhelmed today. I struggled to get out of bed and had no motivation.,depression
I felt better today. I felt overwhelmed with sadness and isolation.,depression
I felt hopeful today. I found it hard to focus today; it was a heavy day.,no depression
I felt better today. I felt a bit off but managed to accomplish some tasks.,no depression
I felt empty today. I felt a bit off but managed to accomplish some tasks.,depression
I felt overwhelmed today. I felt overwhelmed with sadness and isolation.,depression
"I felt empty today. I took a walk in the evening, which slightly lifted my spirits.",depression
I felt down today. I wrote in my journal and expressed my thoughts.,depression
I felt happy today. I wrote in my journal and expressed my thoughts.,no depression
I felt fine today. I felt a bit off but managed to accomplish some tasks.,no depression
"I felt overwhelmed today. I felt a glimmer of hope today, looking forward to tomorrow.",no depression
"I felt fine today. I took a walk in the evening, which slightly lifted my spirits.",no depression
I felt overwhelmed today. I felt a bit off but managed to accomplish some tasks.,no depression
I felt hopeful today. I wrote in my journal and expressed my thoughts.,no depression
I felt hopeful today. I felt overwhelmed with sadness and isolation.,depression
"I felt happy today. I felt a glimmer of hope today, looking forward to tomorrow.",no depression
I felt happy today. I struggled to get out of bed and had no motivation.,depression
I felt down today. I struggled to get out of bed and had no motivation.,depression
I felt empty today. I found it hard to focus today; it was a heavy day.,depression
I felt confused today. I wrote in my journal and expressed my thoughts.,no depression
"I felt better today. I felt a glimmer of hope today, looking forward to tomorrow.",no depression
"I felt confused today. I took a walk in the evening, which slightly lifted my spirits.",depression
"I felt better today. I took a walk in the evening, which slightly lifted my spirits.",no depression
I felt fine today. I felt overwhelmed with sadness and isolation.,depression
I felt empty today. I wrote in my journal and expressed my thoughts.,depression
"I felt empty today. I felt a glimmer of hope today, looking forward to tomorrow.",depression
"I felt fine today. I shared a laugh with a friend, which helped me momentarily.",no depression
"I felt hopeful today. I shared a laugh with a friend, which helped me momentarily.",no depression
